,Żułowska
789,Jurka Bitschana
790,Justowska
791,Jutrzenka
792,Jutrzyńska
793,Kłosowa
794,Kłuszyńska
795,Kącik
796,Kąkolowa
797,Kąpielowa
798,Kąt
799,Kątowa
800,Kacza
801,Kaczeńcowa
802,Kaczorówka
803,Kadecka
804,Kadrówki
805,Kaimska
806,Kajetana Koźmiana
807,Kaktusowa
808,Kalinowa
809,Kaliska
810,Kalwaryjska
811,Kalwińska
812,Kamedulska
813,Kameliowa
814,Kamieńskiego
815,Kamieniarska
816,Kamieniecka
817,Kamienna
818,Kamionka
819,Kanarkowa
820,Kanonicza
821,Kanonierów
822,Kantorowicka
823,Kapelanka
824,Kapucyńska
825,Karasiówka
826,Karmelicka
827,Karola Bunscha
828,Karola Darwina
829,Karola Frycza
830,Karola Homolacsa
831,Karola i Jerzego Drozdowskich
832,Karola Irzykowskiego
833,Karola Jana Chodkiewicza
834,Karola Kurpińskiego
835,Karola Olszewskiego
836,Karola Popiela
837,Karola Rollego
838,Karowa
839,Karpacka
840,Kaspra Bażanki
841,Kasztelańska
842,Kaszubska
843,Katowicka
844,Kędzierzyńska
845,Kępna
846,Kępska
847,Kawiory
848,Kawowa
849,Kazimierza Brodzińskiego
850,Kazimierza Chałupnika
851,Kazimierza Czapińskiego
852,Kazimierza Herwina-Piątka
853,Kazimierza Jagiellończyka
854,Kazimierza Kierzkowskiego
855,Kazimierza Kordylewskiego
856,Kazimierza Kostaneckiego
857,Kazimierza Morawskiego
858,Kazimierza Nitscha
859,Kazimierza Odnowiciela
860,Kazimierza Pluty-Czachowskiego
861,Kazimierza Pochwalskiego
862,Kazimierza Pułaskiego
863,Kazimierza Pużaka
864,Kazimierza Siemienowicza
865,Kazimierza Sprawiedliwego
866,Kazimierza Wielkiego
867,Ketlinga
868,Kielecka
869,Kijanki
870,Klasztorna
871,Klemensa Bąkowskiego
872,Klemensa Janickiego
873,Klemensa z Ruszczy
874,Klementyny Hoffmanowej
875,Klimka Bachledy
876,Kliniec
877,Klonowa
878,Kluczborska
879,Kmicica
880,Kmieca
881,Kminkowa
882,Kołaczy
883,Koło Białuchy
884,Koło Strzelnicy
885,Kołobrzeska
886,Kołodziejska
887,Kołowa
888,Kościelna
889,Kościelnicka
890,Kościuszkowców
891,Koźlarska
892,Kobierzyńska
893,Kocmyrzowska
894,Kogucia
895,Kokosowa
896,Kokotowska
897,Kolarzy
898,Kolędnicza
899,Kolejarzy
